method,metric,original_value,mean,std,ci_lower,ci_upper,confidence_level,bootstrap_iterations,stratified_bootstrap,seed,valid_pairs,genuine_pairs,impostor_pairs
ArcFace cosine baseline,roc_auc,0.9711538461538461,0.9714615384615387,0.022134264113619496,0.9230769230769231,1.0,0.95,5000,True,42,56,52,4
Quality-aware fusion,roc_auc,0.9759615384615384,0.9758788461538461,0.0205396828894666,0.9278846153846154,1.0,0.95,5000,True,42,56,52,4
Quality-aware minus baseline,delta_roc_auc,0.004807692307692291,0.004417307692307688,0.01488873665314135,-0.024038461538461564,0.038461538461538436,0.95,5000,True,42,56,52,4
ArcFace cosine baseline,eer,0.019230769230769218,0.019303846153846158,0.014713771079057292,0.0,0.04807692307692307,0.95,5000,True,42,56,52,4
Quality-aware fusion,eer,0.019230769230769218,0.016386538461538463,0.014677147943388109,0.0,0.04807692307692307,0.95,5000,True,42,56,52,4
Quality-aware minus baseline,delta_eer,0.0,-0.0029173076923076904,0.009224419423074694,-0.019230769230769273,0.0,0.95,5000,True,42,56,52,4
