bootstrap_id,valid_pairs,genuine_pairs,impostor_pairs,baseline_roc_auc,fused_roc_auc,delta_roc_auc,baseline_eer,fused_eer,delta_eer,baseline_accuracy_at_eer_threshold,fused_accuracy_at_eer_threshold
0,56,52,4,0.9711538461538461,0.9615384615384616,-0.009615384615384581,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
1,56,52,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2,56,52,4,0.9903846153846154,0.9615384615384616,-0.028846153846153855,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
3,56,52,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4,56,52,4,0.9903846153846154,0.9807692307692307,-0.009615384615384692,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
5,56,52,4,0.9134615384615384,0.8846153846153846,-0.028846153846153855,0.05769230769230771,0.05769230769230771,0.0,0.8928571428571429,0.8928571428571429
6,56,52,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7,56,52,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
8,56,52,4,0.9567307692307692,0.971153846153846,0.014423076923076872,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
9,56,52,4,0.9567307692307692,0.9615384615384615,0.004807692307692291,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
10,56,52,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
11,56,52,4,0.9807692307692307,0.9807692307692307,0.0,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
12,56,52,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
13,56,52,4,0.9711538461538461,0.9519230769230769,-0.019230769230769273,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
14,56,52,4,0.9711538461538461,0.9567307692307692,-0.014423076923076983,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
15,56,52,4,0.9711538461538461,0.9615384615384616,-0.009615384615384581,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
16,56,52,4,0.9615384615384616,0.9615384615384616,0.0,0.038461538461538436,0.019230769230769218,-0.019230769230769218,0.9285714285714286,0.9642857142857143
17,56,52,4,0.9807692307692308,0.9615384615384616,-0.019230769230769273,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
18,56,52,4,0.9903846153846154,0.9951923076923077,0.004807692307692291,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
19,56,52,4,0.985576923076923,0.9807692307692307,-0.004807692307692291,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
20,56,52,4,0.9423076923076923,0.9567307692307692,0.014423076923076872,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
21,56,52,4,0.9423076923076923,0.9615384615384615,0.019230769230769162,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
22,56,52,4,0.9615384615384616,0.951923076923077,-0.009615384615384581,0.038461538461538436,0.038461538461538436,0.0,0.9285714285714286,0.9285714285714286
23,56,52,4,0.9711538461538461,0.9807692307692307,0.009615384615384581,0.019230769230769218,0.009615384615384637,-0.009615384615384581,0.9642857142857143,0.9821428571428571
24,56,52,4,0.9567307692307692,0.9615384615384616,0.004807692307692402,0.028846153846153855,0.019230769230769218,-0.009615384615384637,0.9464285714285714,0.9642857142857143
25,56,52,4,0.9807692307692307,0.9903846153846154,0.009615384615384692,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
26,56,52,4,0.985576923076923,0.9807692307692307,-0.004807692307692291,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
27,56,52,4,0.985576923076923,0.9807692307692307,-0.004807692307692291,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
28,56,52,4,0.9807692307692307,0.9807692307692307,0.0,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
29,56,52,4,0.9855769230769231,0.9807692307692307,-0.004807692307692402,0.028846153846153855,0.009615384615384637,-0.019230769230769218,0.9464285714285714,0.9821428571428571
30,56,52,4,0.9423076923076923,1.0,0.05769230769230771,0.028846153846153855,0.0,-0.028846153846153855,0.9464285714285714,1.0
31,56,52,4,0.985576923076923,1.0,0.014423076923076983,0.009615384615384637,0.0,-0.009615384615384637,0.9821428571428571,1.0
32,56,52,4,0.9230769230769231,0.9326923076923077,0.009615384615384581,0.038461538461538436,0.038461538461538436,0.0,0.9285714285714286,0.9285714285714286
33,56,52,4,0.9711538461538461,0.9903846153846154,0.019230769230769273,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
34,56,52,4,0.9615384615384616,0.9711538461538461,0.009615384615384581,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
35,56,52,4,0.9615384615384616,0.9807692307692307,0.019230769230769162,0.019230769230769218,0.009615384615384637,-0.009615384615384581,0.9642857142857143,0.9821428571428571
36,56,52,4,0.9903846153846154,0.9807692307692307,-0.009615384615384692,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
37,56,52,4,0.9567307692307692,0.9471153846153846,-0.009615384615384581,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
38,56,52,4,0.9423076923076923,0.9375,-0.004807692307692291,0.038461538461538436,0.038461538461538436,0.0,0.9285714285714286,0.9285714285714286
39,56,52,4,0.985576923076923,0.985576923076923,0.0,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
40,56,52,4,0.985576923076923,0.9807692307692307,-0.004807692307692291,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
41,56,52,4,0.9038461538461539,0.9182692307692308,0.014423076923076983,0.04807692307692307,0.04807692307692307,0.0,0.9107142857142857,0.9107142857142857
42,56,52,4,0.9567307692307692,0.9519230769230769,-0.004807692307692291,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
